5.431078076362609863e-01,-1.357312560081481934e+00,1.969067752361297607e-02,-1.117350757122039795e-01,-2.962864339351654053e-01
5.093852281570434570e-01,-1.512448310852050781e+00,-1.669878363609313965e-01,-5.527892708778381348e-02,-2.943628132343292236e-01
4.946956634521484375e-01,-1.646909832954406738e+00,-2.854990363121032715e-01,-1.159315556287765503e-02,-2.944939136505126953e-01
4.824923872947692871e-01,-1.738341689109802246e+00,-3.674934506416320801e-01,2.347620576620101929e-02,-3.042250871658325195e-01
4.500955343246459961e-01,-1.786176800727844238e+00,-4.473438858985900879e-01,5.058210343122482300e-02,-3.200118541717529297e-01
4.194084405899047852e-01,-1.808379769325256348e+00,-5.053060650825500488e-01,5.755615234375000000e-02,-3.375450074672698975e-01
4.098701775074005127e-01,-1.822947144508361816e+00,-5.251696705818176270e-01,3.301489353179931641e-02,-3.582950234413146973e-01
4.074304401874542236e-01,-1.830693006515502930e+00,-5.319907069206237793e-01,1.735959202051162720e-02,-3.699336647987365723e-01
4.054485559463500977e-01,-1.835265398025512695e+00,-5.366069078445434570e-01,6.821155548095703125e-03,-3.787577152252197266e-01
4.035287499427795410e-01,-1.837965726852416992e+00,-5.400612354278564453e-01,-1.469925045967102051e-03,-3.861262798309326172e-01
4.014796912670135498e-01,-1.839472889900207520e+00,-5.429440736770629883e-01,-8.702017366886138916e-03,-3.927619457244873047e-01
3.989992737770080566e-01,-1.840140700340270996e+00,-5.457922220230102539e-01,-1.607756316661834717e-02,-3.995973467826843262e-01
3.949932754039764404e-01,-1.840196609497070312e+00,-5.497864484786987305e-01,-2.652002871036529541e-02,-4.092123210430145264e-01
3.878457844257354736e-01,-1.839591503143310547e+00,-5.565671920776367188e-01,-4.417574405670166016e-02,-4.253686070442199707e-01
3.820524811744689941e-01,-1.837670326232910156e+00,-5.613942742347717285e-01,-5.855941772460937500e-02,-4.387792348861694336e-01
3.795338273048400879e-01,-1.834937930107116699e+00,-5.626336336135864258e-01,-6.426210701465606689e-02,-4.445601105690002441e-01
3.781012296676635742e-01,-1.832429528236389160e+00,-5.629218220710754395e-01,-6.649774312973022461e-02,-4.471381902694702148e-01
3.771721720695495605e-01,-1.830369949340820312e+00,-5.629000663757324219e-01,-6.738986074924468994e-02,-4.483177065849304199e-01
3.765174448490142822e-01,-1.828755974769592285e+00,-5.628039836883544922e-01,-6.775881350040435791e-02,-4.488818049430847168e-01
3.760413527488708496e-01,-1.827516794204711914e+00,-5.626983046531677246e-01,-6.791718304157257080e-02,-4.491663575172424316e-01
